RAZON SOCIAL,DIR-COMERCIAL,BARRIO-COMERCIAL,MUN-COMERCIAL,TEL-COM-1,TEL-COM-2,TEL-COM-3,CIIU-1,CIIU-2,CIIU-3,CIIU-4,ACTIVIDAD
SERVICIOS Y MANTENIMIENTOS AL DIA S.A.S.,CL 11 1 A 40,,76895 - ZARZAL,3103554211,3172654691,,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,Comercio al por menor de articulos de ferreteria  pinturas.  Mantenimiento y reparacion especializado de maquinaria y equipo.  Mantenimiento y reparacion de vehiculos automotores.
TALLER DE REFRIGERACION LA CHINA,CARRERA 10 NO 5-46,,76895 - ZARZAL,3203710651,3123956917,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,F4322 ** Instalaciones de fontaneria  calefaccion y aire acondicionado,PRINCIAL: MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES. SECUNDARIAS: - COMERCIO DE PARTES PIEZAS PARA AUTOMOTORES. - MANTENIMIENTO Y REPARACION ESPECIALIZADO DE MAQUINARIA Y EQUIPO - INSTALACION DE CALEFACION Y AIRES ACONDICIONADO.
RECONSTRULLANTAS,CL 38 26 15,00492 - SALESIANO,76834 - TULUA,3188508180,3164698232,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,SERVICIO DE MONTALLANTAS  REPARACION  VENTA DE HERRAMIENTAS  ACCESORIOS Y LLANTAS PARA BICICLETAS.
TALLER METAL MECANICO AUTOMOTRIZ FREDDY,CL 25 18 72,00501 - LAS DELICIAS,76834 - TULUA,3167695508,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,TRABAJOS EN SOLDAURA ELECTRICA Y AUTOGENA MANEJO DE OCICORTES Y ADAPTACIONES PARA VOLQUETAS Y CAMIONES  MAANTENIMIENTO Y REPARACION GENERAL.
AUTO CEDRO SAS,CR 40 43 84,00450 - VILLA DEL RÍO,76834 - TULUA,2256938,3187441630,,G4511 ** Comercio de vehiculos automotores nuevos,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,COMERCIO DE VEHICULOS AUTOMOTORES NUEVOS. COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES.
PRO DETAILING CENTER,CR 25 A 45 59,00654 - NUEVO PRINCIPE,76834 - TULUA,3185039907,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,CENTRO ESPECIALIZADO DE EMBELLECIMIENTO AUTOMOTRIZ
TALLER WASH SBM,CRA  28 A NRO  8 12,00472 - SANTA RITA DEL RÍO,76834 - TULUA,3168309031,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4724 ** Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados,,,LAVADERO DE MOTOS Y CARROS. VENTA DE PICADURAS  JUGOS  GAESOSA Y COMIDAS.
ALMACEN ELECTRICO J.E.C. LA 30,CR 30 19 04,00474 - VILLANUEVA,76834 - TULUA,3153089676,3162415917,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores. Mantenimiento y reparacion de vehiculos automotores
CARWASH MOVIL OPTIMUS,CL 30 40 42,00444 - JAZMÍN,76834 - TULUA,3227636110,3006950227,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,LAVADO Y RESTAURACION DE VEHICULOS
PINTUAUTOS Y CUÑETES,CR 29 22 11,00474 - VILLANUEVA,76834 - TULUA,3148523192,3128938660,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,,,SERVICIO DE LAMINA Y PINTURA DE VEHÍCULOS AUTOMOTORES. VENTA DE CUÑETES DES PINTURA PARA CASAS.
EYM AUTOMOTRIZ,CRA 4 C CON CALLE 14 CASA 33 URB. PUERTAS DEL SOL,,76895 - ZARZAL,3108542843,3166695793,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES  MANTENIMIENTO Y REPARACION ESPECIALIZADO DE MAQUINARIA Y EQUIPO  COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES  COMERCIO AL POR MENOR DE LUBRICANTES (ACEITES  GRASAS)  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHICULOS AUTOMOTORES
JOSE ORLANDO GARCIA A,CR 40 23 12,00455 - NUEVO ALVERNIA,76834 - TULUA,3164817261,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
SEH IMPORTACIONES SAS,CIR 24 31 40,00452 - CESPEDES,76834 - TULUA,3146069163,3173743185,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES.COMERCIO DE MOTOCICLETAS Y DE SUS PARTES  PIEZAS Y ACCESORIOS.MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS
PARABRISAS Y CHAPAS JHON F 2,CR 10 NRO. 6 - 64,,76895 - ZARZAL,3187787855,3158892523,3152983208,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO  DE  PARTES   PIEZAS  (AUTOPARTES)  Y ACCESORIOS(LUJOS) PARA VEHICULOS AUTOMOTORES  MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES.
TECNISERVICIOS M.R,CARRERA 8 NRO. 14-44,,76895 - ZARZAL,3146648299,3146648299,3146648299,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,MANTENIMIENTO Y REPARACIóN ESPECIALIZADO DE MAQUINARIA Y EQUIPO. MANTENIMIENTO Y REPARACIóN DE VEHíCULOS AUTOMOTORES. COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHíCULOS AUTOMOTORES.
ELITE DETAILING  PRO,CALLE 42A NO. 24-18,00654 - NUEVO PRINCIPE,76834 - TULUA,3172657250,3046702399,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,K6511 ** Seguros generales,G4724 ** Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES. COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES. VENTA DE SOAT. VENTA DE COMESTIBLES (PAPAS  DUCES  GASEOSAS Y OTROS)
MONTALLANTAS Y REPUESTOS Y.R,CARRERA 1 NRO. 1-04 CTO DE LA PAILA-LA FRUTERA,,76895 - ZARZAL,3105944875,3105944875,3105944875,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MONTALLANTAS.
CAR-LUCHO MONTALLANTAS Y VENTA DE AUTOPARTES,CR 30 14 108,00468 - MORALES,76834 - TULUA,3153470313,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,SERVICIO DE MONTALLANTAS. COMERCIO AL POR MENOR DE  PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES.
METAL-MECANICAS H Y D,CR 4 20 46,,76036 - ANDALUCIA,3164612498,3233016545,,C2511 ** Fabricacion de productos metalicos para uso estructural,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL. MANTENIMIENTO Y REPARACION ESPECIALIZADO DE MAQUINARIA Y EQUIPO. MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES.
LOTRAES S.A.S.,CARRERA 5 NRO. 3 45 BARRIO COCICOINPA,,76113 - BUGALAGRANDE,3168781840,,,H4921 ** Transporte de pasajeros,H4922 ** Transporte mixto,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,TRANSPORTE DE PASAJEROS. TRANSPORTE MIXTO. MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES. COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES.
RADIADORES JK,CR 28 A 20 36,00474 - VILLANUEVA,76834 - TULUA,3148286370,3165181337,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE RADIADORES Y SOLDADURA.
FERRETERIA FAHERRAMIENTAS,CRA 4 NRO  20- 46 B/ RICAUTE,,76036 - ANDALUCIA,3188873564,,,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,COMERCIO DE ARTíCULOS DE FERRETERíA  PINTURAS  ARTíCULOS DE CONSTRUCCIóN  REPUESTOS AUTOMOTORES Y PRODUCTOS DE VIDRIO. COMERCIO DE PARTES  PIEZAS (AUTOPARTES)PARA VEHICULOS AUTOMOTORES. MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES .
AA&S REPARACIONES,CALLE 5 No. 1A - 05 VIA A SAN FERNANDO,,76100 - BOLIVAR,3136647933,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,N8299 ** Otras actividades de servicio de apoyo a las empresas n.c.p.,,REPARACION DE TODA CLASE DE VEHICULOS Y MAQUINARIA AGRICOLA EN GENERAL  DISEÑO Y FABRICACION DE MAQUINARIA  SERVICIO DE SOLDADURA  TORNO  FRESADORA  FABRICACION DE PIÑONES
LA FERIA FOOD TRUCKS,CORREGIMIENTO DE NARIÑO CARRETERA PRINCIPAL VIA RIOFRIO SN-1030,,76834 - TULUA,3218788019,,,I5630 ** Expendio de bebidas alcoholicas para el consumo dentro del establecimiento,I5611 ** Expendio a la mesa de comidas preparadas,I5612 ** Expendio por autoservicio de comidas preparadas,G4520 ** Mantenimiento y reparacion de vehiculos automotores,Expendio de bebidas alcoholicas para el consumo dentro del establecimiento. Expendio a la mesa de comidas preparadas. Mantenimiento y reparacion de vehiculos automotores. lavado de vehiculos.
LAVADERO LA CAMPIÑA LA 15,CL 15 18 36,00517 - LA CAMPIÑA,76834 - TULUA,3126515954,3207501584,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,LAVADERO DE MOTOS
CARWASH MOTO SPA GOLDEN,CARRERA 10 Nro. 6-40,,76895 - ZARZAL,3136332506,3136332506,3136332506,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,Lavadero y mantenimiento.
TALLER AUTOMOTRIZ R&S,CALLE 12 G NRO 28 F 32,00460 - EL BOSQUE,76834 - TULUA,3165159017,3126242964,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,Mantenimiento y reparacion de vehiculos automotores
SERVIAUTOS BM,CL 5 5 55,,76100 - BOLIVAR,3225415261,,,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,Actividades de estaciones  vias y servicios complementarios para el transporte terrestre.Mantenimiento y reparacion de vehiculos automotores.
MONTALLANTAS AREVALO,CR 5 NRO 1-87 B/ LA MARIA,,76113 - BUGALAGRANDE,3155905819,3112539511,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIO DE DESPINCHADO DE LLANTAS PARA MOTOS Y CARROS  SUSPENSION RAPIDA Y REVISION DE FRENOS.
TALLER MARULANDA PATIÑO,CLL 6 12 07,,76113 - BUGALAGRANDE,3172605869,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,Mantenimiento y reparacion de vehiculos automotores
PERITO Y MECANICO PROFESIONAL AUTOMOTRIZ Y MOTOCICLETAS,CALLE 5 NRO. 5 -70,,76895 - ZARZAL,3148456495,3148456495,3153102857,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
CENTRO DE MANTENIMIENTO SUPPORTEC,CR 22 B 14 32,00577 - MARACAIBO,76834 - TULUA,3225160898,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,Mantenimiento y reparación de vehículos automotores
HERNAN POSSO MECAMICA AUTOMOTRIZ,CRA 28 Nro. 36-28,00481 - AVENIDA CALI,76834 - TULUA,3154351105,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,Mantenimiento y reparacion de vehiculos automotores. Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores.
MULTIREPUESTOS JM,CL 34 A 24 05,00491 - SAJONIA,76834 - TULUA,3162851186,,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores. Mantenimiento y reparacion de vehiculos automotores.
REPARACION DE MOTORES R Y R DIESEL DEL VALLE,CL 21 29 51,00474 - VILLANUEVA,76834 - TULUA,3216958836,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
TALLER AUTO-ELECTRIC,K30        17       06,00451 - ALVERNIA,76834 - TULUA,3162411936,2258421,3162411936,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
AQUI PALOMINO,CRA 30 NRO 24 126,,76834 - TULUA,2323972,3174743984,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,reparacion de vehiculos automotores
LAVADERO Y PARQUEADERO CAR WASH LA 21,CL 21 26 57,00480 - TOMÁS URIBE,76834 - TULUA,3103489598,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,,Mantenimiento y reparacion de vehiculos automotores Actividades de estaciones  vias y servicios complementarios para el transporte terrestre Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores
DESIGN CAR AUDIO TULUA,CR 26 A 40 75,00486 - EL PRINCIPE,76834 - TULUA,3187402031,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,REPARACION AUTOMOTRIZ
FORMULA 1 CENTRO DE ESTETICA AUTOMOTRIZ,CALLE 36 Nro. 26 - 29,00492 - SALESIANO,76834 - TULUA,2359305,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,LAVADO Y ESTETICA AUTOMOTRIZ
MEGALLANTAS DEL VALLE R SAS,CL 13 38 A 166,00461 - EL CONDOR,76834 - TULUA,3104605797,2335666,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores.Mantenimiento y reparacion de vehiculos automotores.
CENTRO REPUESTOS ZARZAL,CALLE 8 NRO. 15-57,,76895 - ZARZAL,3207315018,3207315018,3207315018,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES.  MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES.  COMERCIO DE MOTOCICLETAS Y DE SUS PARTES  PIEZAS Y ACCESORIOS.  MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS.
EXCALIBUR TEC.,CL 31 A 36 51,00448 - VICTORIA,76834 - TULUA,3116350396,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,N8299 ** Otras actividades de servicio de apoyo a las empresas n.c.p.,,,Mantenimiento y reparación de vehículos automotores. Otras actividades de servicio de apoyo a las empresas n.c.p.
TECNI SERVICE GGG,CALLE 26 F Nro.2 OESTE 39,00496 - ASOAGRIN FARFAN,76834 - TULUA,3157244720,,,H4923 ** Transporte de carga por carretera,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,Transporte de carga por carretera. Mantenimiento y reparación de vehículos automotores.
TALLER LA 28,AV. PPAL AGUACLARA 28  10 CALLEJON MONEDERO,,76834 - TULUA,3235874729,,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores. Mantenimiento y reparacion de vehiculos automotores.
LAVAPARQUEO,CL 25 36 19,00451 - ALVERNIA,76834 - TULUA,3103718065,,,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,SERVICIO DE PARQUEADERO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS. SERVICIO DE LAVADO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS.
PINTUCARS-26,CR 26 38 134,00486 - EL PRINCIPE,76834 - TULUA,2227278,3167155624,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIO DE LAMINA Y PINTURA AUTOMOTRIZ.
TALLER GUASCA,CALLE 11 Nro. 4 - 44 BARRIO CENTRO,,76036 - ANDALUCIA,3146229357,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,Mantenimiento y reparacion de vehiculos automotores.
TRACTOMOTORS S.A.S.,CR 40 33 56,00445 - MIRAFLORES,76834 - TULUA,3173185862,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,Mantenimiento y reparacion de vehiculos automotores. Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores.
LAVAUTOS NICHE BLUE,CR 26 31 44,00492 - SALESIANO,76834 - TULUA,3154559596,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,EMBELLECIMIENTO AUTOMOTRIZ.
SERVITECA TECNILLANTAS H.S.,CR 30 16 69,00470 - POPULAR,76834 - TULUA,3166668353,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,Mantenimiento y reparación de vehículos automotores. venta de llantas de segunda.
TALLER AUTOMOTRIZ NG,CR 29A NO 21 102,00474 - VILLANUEVA,76834 - TULUA,3188364918,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,Mantenimiento y reparacion de vehiculos automotores
TALLER TULIPAN,CL 27 34 28,00448 - VICTORIA,76834 - TULUA,3122366733,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,Mantenimiento y reparacion de vehiculos automotores.
AUTOCAMPEROS,K 30       20       04,00474 - VILLANUEVA,76834 - TULUA,2240644,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS
TALLER FIERRO,C  6       8        40,,76895 - ZARZAL,3127513296,3127513296,3127513296,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES.
TALLER ROMAN,K28 A      20       09,00474 - VILLANUEVA,76834 - TULUA,2305578,3122050402,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,TALLER
LABORATORIO TRACTO DIESEL,K 40        29       25,00444 - JAZMÍN,76834 - TULUA,3122955415,2240715,3122955415,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,MECÁNICA INDUSTRIAL CON SISTEMA DE INYECCIÓN DIESEL  MANTENIMIENTO DE AUTOMOTORES
SERVISUYERS,CALLE 42D  N 33  -  66,00655 - NUEVO FATIMA,76834 - TULUA,3137649558,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO PREVENTIVO  DE VEHICULOS
