"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Clics en el enlace",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)"
1000326258801373,100064720237286,"Alcaldía de Tuluá","¡Gracias por transformar a Tuluá! 🙌💙

A todos los que se unieron a la jornada de limpieza y embellecimiento de nuestro municipio, ¡GRACIAS! 👏 Juntos, con amor y esfuerzo, vamos a recuperar y sacar adelante a Tuluá. 💪✨ ¡Sigamos trabajando por un mejor futuro! #ParaSerFelices. 🌱 #PorTuluáCorremosTodos",,0,"11/16/2024 13:35",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02A4KtwSqj4Djup72FRUgDr6HfRC8UTfffisJvj7BkyEB9xyNAi3ZYvu3h4GdNaR2Cl,0,0,Fotos,,,,,Total,4686,4686,192,132,45,15,1107,195,912,,,,,,,
1000194268814572,100064720237286,"Alcaldía de Tuluá","¡Tuluá está brillando hoy! ✨💚 

Nos unimos con toda la energía para limpiar y dejar nuestro municipio más bonito. 💪🏼🌍 Gracias a todos los que suman. ¡Somos más los que queremos ver Tuluá limpia y chévere! 😎🙌🏼 Sigamos construyendo un lugar increíble. #ParaSerFelices 💙✅ #PorTuluáCorremosTodos","¡Tuluá está brillando hoy! ✨💚 

Nos unimos con toda la energía para limpiar y dejar nuestro municipio más bonito. 💪🏼🌍 Gracias a todos los que suman. ¡Somos más los que queremos ver Tuluá limpia y chévere! 😎🙌🏼 Sigamos construyendo un lugar increíble. #ParaSerFelices 💙✅ #PorTuluáCorremosTodos",81,"11/16/2024 08:42",N/A,https://www.facebook.com/reel/1659868861602158/,1,0,Reels,,,,,Total,770,747,89,69,12,8,0,,,,1072,14900.677,15.142,0,0,
1000124792154853,100064720237286,"Alcaldía de Tuluá","¡Así iniciamos la Jornada de embellecimiento por Tuluá! 💪🏽✨ 

Unidos, estamos embelleciendo, limpiando y pintando nuestro municipio para que se vea mejor que nunca. 🌿🎨 Te invitamos a unirte con nosotros, a ser parte de este gran esfuerzo por el bienestar de todos. 
¡Juntos hacemos de Tuluá un lugar más limpio y hermoso! 🏙️💙 #ParaSerFelices #PorAmorATuluá #PorTuluáCorremosTodos",,0,"11/16/2024 06:45",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02vQSekgMk23ifA5D2b33MEJ1mETsGK6i9QRVM7Je11UPhzmoDS1r3ukKjRi6Urzgkl,0,0,Fotos,,,,,Total,2331,2313,87,67,10,10,828,83,745,,,,,,,
999681648865834,100064720237286,"Alcaldía de Tuluá","¡24 años del Mercado Campesino “Corazón del Valle”! 🎉🌿 

Más de dos décadas llevando lo mejor de la tierra tulueña a tu mesa. Gracias al trabajo de nuestros campesinos y al apoyo del alcalde Gustavo Vélez y SEDAMA, seguimos fortaleciendo nuestra economía local. ¡Este mercado es el corazón de nuestra tradición y esfuerzo! 💚 Ven los martes y viernes, y apoya lo nuestro. 

#MercadoCampesino #ParaSerFelices 💙🤩","¡24 años del Mercado Campesino “Corazón del Valle”! 🎉🌿 

Más de dos décadas llevando lo mejor de la tierra tulueña a tu mesa. Gracias al trabajo de nuestros campesinos y al apoyo del alcalde Gustavo Vélez y SEDAMA, seguimos fortaleciendo nuestra economía local. ¡Este mercado es el corazón de nuestra tradición y esfuerzo! 💚 Ven los martes y viernes, y apoya lo nuestro. 

#MercadoCampesino #ParaSerFelices 💙🤩",38,"11/15/2024 16:09",uploaded,https://www.facebook.com/reel/924907025778709/,1,0,Reels,,,,,Total,571,551,38,33,0,5,0,,,,1084,6975.607,6.982,0,0,
796836199193937,100064720237286,"Alcaldía de Tuluá","¡Encuentros con el Alcalde!","Bienvenidos a este espacio creado para interactuar con los tulueños.

Hoy nuestro alcalde Gustavo Vélez, estará compartiendo con la Media Maratón Tulua. #ParaSerFelices 💙",2645,"11/15/2024 09:29",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/796836199193937/,0,0,"En vivo",,,,,Total,1238,1189,417,328,74,15,,,,,2821,185787.873,80.953,0,,
999429245557741,100064720237286,"Alcaldía de Tuluá","🚍✨ ¡La Central de Transportes de Tuluá te está esperando! ✨🚍

Te invitamos a conocer este gran espacio, una de las Centrales de Transportes más modernas del país, con instalaciones de última generación. ¡Ven y disfruta de un espacio único que no solo es punto de partida, sino también un centro comercial! 🛍️ Disfruta de áreas comunes, salas VIP, restaurantes y un ambiente perfecto para compartir con tu familia y amigos. 🤩

Y si te gustaría hacer parte de este gran espacio, tenemos locales disponibles para ti. ¡No esperes más y visítanos! 🙌 #ParaSerFelices","🚍✨ ¡La Central de Transportes de Tuluá te está esperando! ✨🚍

Te invitamos a conocer este gran espacio, una de las Centrales de Transportes más modernas del país, con instalaciones de última generación. ¡Ven y disfruta de un espacio único que no solo es punto de partida, sino también un centro comercial! 🛍️ Disfruta de áreas comunes, salas VIP, restaurantes y un ambiente perfecto para compartir con tu familia y amigos. 🤩

Y si te gustaría hacer parte de este gran espacio, tenemos locales disponibles para ti. ¡No esperes más y visítanos! 🙌 #ParaSerFelices",59,"11/15/2024 07:22",uploaded,https://www.facebook.com/reel/599532656012821/,1,0,Reels,,,,,Total,1023,987,75,57,7,11,0,,,,2342,26071.95,11.91,0,0,
998936525607013,100064720237286,"Alcaldía de Tuluá","¡Cada vez estamos más cerca del gran día! 🏁 

Este domingo, no te pierdas la oportunidad de ser parte de este evento que pondrá a Tuluá en el mapa. 💙 Únete y apoya a nuestros corredores. Demostremos que la fuerza de los tulueños no tiene límites. 

¡Juntos vamos a hacer historia! 🥇🙌🏼 #PorTuluáCorremosTodos #ParaSerFelices 💙 🏃‍♂️💨","¡Cada vez estamos más cerca del gran día! 🏁 

Este domingo, no te pierdas la oportunidad de ser parte de este evento que pondrá a Tuluá en el mapa. 💙 Únete y apoya a nuestros corredores. Demostremos que la fuerza de los tulueños no tiene límites. 

¡Juntos vamos a hacer historia! 🥇🙌🏼 #PorTuluáCorremosTodos #ParaSerFelices 💙 🏃‍♂️💨",31,"11/14/2024 16:32",N/A,https://www.facebook.com/reel/1550189262274949/,1,0,Reels,,,,,Total,601,568,49,39,0,10,0,,,,942,7493.886,9.105,0,0,
998855605615105,100064720237286,"Alcaldía de Tuluá","🌱🚜 ¡Este fin de semana, llegamos a la zona rural! 🚜🌱

A través del Departamento de Planeación y con el equipo del SISBÉN, visitamos el corregimiento de Barragán para llevar una jornada descentralizada que benefició directamente a nuestra comunidad. ¡Atendimos a más de 150 personas y realizamos 78 encuestas en campo! 📝✅

Nuestro compromiso es llegar a todos los rincones de Tuluá, asegurando que los tulueños de todos los sectores reciban el apoyo que merecen. 💪 ¡Seguimos trabajando por la Tuluá #ParaSerFelices!💙","🌱🚜 ¡Este fin de semana, llegamos a la zona rural! 🚜🌱

A través del Departamento de Planeación y con el equipo del SISBÉN, visitamos el corregimiento de Barragán para llevar una jornada descentralizada que benefició directamente a nuestra comunidad. ¡Atendimos a más de 150 personas y realizamos 78 encuestas en campo! 📝✅

Nuestro compromiso es llegar a todos los rincones de Tuluá, asegurando que los tulueños de todos los sectores reciban el apoyo que merecen. 💪 ¡Seguimos trabajando por la Tuluá #ParaSerFelices!💙",60,"11/14/2024 13:13",uploaded,https://www.facebook.com/reel/586834803867921/,1,0,Reels,,,,,Total,507,490,38,30,2,6,0,,,,838,6889.099,8.709,0,0,
998248439009155,100064720237286,"Alcaldía de Tuluá","¡Aún puedes ser parte de la Media Maratón Tuluá! 🏃‍♂️🏃‍♀️

Participa en nuestra jornada de limpieza este sábado, toma una foto mientras colaboras y ¡puedes ganar una inscripción gratuita para la carrera! 🧹📸

¡Así de fácil puedes unirte a este gran evento y ser parte de la transformación de Tuluá! 💙

#ParaSerFelices #MediaMaratónTuluá",,0,"11/13/2024 17:02",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid03AwqVWg5SXV8DTe6MyMRNLfe3z9DdFNJZChiJKdJj3UQ8xysDxSjbaSrLdWNWaybl,0,0,Fotos,,,,,Total,1604,1550,44,27,0,17,18,3,15,,,,,,,
998055495695116,100064720237286,"Alcaldía de Tuluá","¡Jornada de sanidad animal en Barragán!🐂🐴🩺🏥💉

Durante este fin de semana, llegamos a la zona rural con una jornada de salud animal liderado por la Secretaría de Desarrollo Agropecuario y Medio Ambiente, SEDAMA, en trabajo articulado con la Secretaría de Salud.  Continuamos reafirmando el compromiso de trabajar por nuestros animales y llegar a cada rincón de nuestro municipio #ParaSerFelices 💙💪🏼🙌🏼",,0,"11/13/2024 09:22",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0s8dvLuAhnLDZe65SpeL59DzRQfwExKkk2dZPZks5dHaAqsY5X8WMnt4rrg3QjvxKl,0,0,Fotos,,,,,Total,1216,1134,57,44,0,13,166,33,133,,,,,,,
997482625752403,100064720237286,"Alcaldía de Tuluá","¡Únete a la Jornada de Embellecimiento de Tuluá!🫧🧹🪥

💪🏽 ¡El gran evento de ciudad está a la vuelta de la esquina! La Media Maratón Tuluá se acerca y queremos que nuestro municipio luzca más hermoso que nunca. 🏃‍♀️🌳 🌟 Este sábado nos reunimos para limpiar y embellecer cada rincón de Tuluá, porque ¡todos somos parte de esta gran fiesta! ¡Tu ayuda es fundamental para dar la mejor cara a los miles de visitantes que tendremos! 👉 Te esperamos el 16 de noviembre desde las 8:00 a. m. para que juntos dejemos a Tuluá impecable. ¡Participa y se parte de esta transformación #ParaSerFelices! 🙌🏽💙","¡Únete a la Jornada de Embellecimiento de Tuluá!🫧🧹🪥

💪🏽 ¡El gran evento de ciudad está a la vuelta de la esquina! La Media Maratón Tuluá se acerca y queremos que nuestro municipio luzca más hermoso que nunca. 🏃‍♀️🌳 🌟 Este sábado nos reunimos para limpiar y embellecer cada rincón de Tuluá, porque ¡todos somos parte de esta gran fiesta! ¡Tu ayuda es fundamental para dar la mejor cara a los miles de visitantes que tendremos! 👉 Te esperamos el 16 de noviembre desde las 8:00 a. m. para que juntos dejemos a Tuluá impecable. ¡Participa y se parte de esta transformación #ParaSerFelices! 🙌🏽💙",49,"11/12/2024 13:42",uploaded,https://www.facebook.com/reel/534917909333194/,1,0,Reels,,,,,Total,1084,1029,158,91,7,60,0,,,,3058,23328.75,8.269,0,0,
995127862654546,100064720237286,"Alcaldía de Tuluá","Conoce las noticias más importantes de esta semana en nuestro resumen “45 segundos #ParaSerFelices”💙✅","Conoce las noticias más importantes de esta semana en nuestro resumen “45 segundos #ParaSerFelices”💙✅",76,"11/09/2024 11:58",uploaded,https://www.facebook.com/reel/1995627364197783/,1,0,Reels,,,,,Total,814,667,40,33,0,7,0,,,,994,7664.079,8.312,0,0,
994436922723640,100064720237286,"Alcaldía de Tuluá","¡Atención: Cartel de los más buscados! 🚨💪🏼

La Policía Nacional da a conocer el cartel con 25 delincuentes buscados por delitos graves en nuestro municipio. Si tienes información, denúnciala de forma confidencial. La colaboración de los tulueños es clave para hacer de Tuluá un lugar más seguro. #ParaSerFelices 👮‍♂️✅","¡Atención: Cartel de los más buscados! 🚨💪🏼

La Policía Nacional da a conocer el cartel con 25 delincuentes buscados por delitos graves en nuestro municipio. Si tienes información, denúnciala de forma confidencial. La colaboración de los tulueños es clave para hacer de Tuluá un lugar más seguro. #ParaSerFelices 👮‍♂️✅",49,"11/08/2024 12:59",uploaded,https://www.facebook.com/reel/966118855319797/,1,0,Reels,,,,,Total,1684,1493,128,96,13,19,0,,,,4453,50587.501,13.576,0,0,
594215636502206,100064720237286,"Alcaldía de Tuluá","¡Encuentros con el alcalde! ✅💙🗣️","Bienvenidos a este espacio creado para la comunidad. Hoy hablaremos de diferentes temas e invitaremos a nuestra comunidad tulueña a que corramos todos por Tuluá en la Media Maratón Tuluá🏃🏻‍♀️🥇. #ParaSerFelices! 💙",3456,"11/08/2024 09:18",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/594215636502206/,0,0,"En vivo",,,,,Total,1750,1630,422,330,75,17,,,,,4151,199427.294,59.477,0,,
994260946074571,100064720237286,"Alcaldía de Tuluá","¡Por Tuluá, corremos todos!🏃🏻‍♀️🥇","¡Por Tuluá corremos todos! 💙💪🏼

🏃‍♀️ Este es el momento de unirnos y hacer historia juntos.🏅 Ven a vivir una experiencia única y demuestra que en Tuluá somos una comunidad unida, llena de energía y pasión.✨ ¡Que nada nos detenga! #PorTuluáCorremosTodos #ParaSerFelices 👟✅

@[783956240438377:49210:@seguidores] @[815630467270954:49210:@fans destacados]",78,"11/08/2024 07:34",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/2926940527473055/,0,0,Videos,,,,,Total,4202,4039,389,272,37,80,102,101,,1,4328,47285.014,12.237,0,0,0
993712422796090,100064720237286,"Alcaldía de Tuluá","Te esperamos este martes, 12 de noviembre de 2024 en la Segunda Mesa Pública del Programa de Alimentación Escolar - PAE, para socialización con toda la comunidad educativa. ¡No te lo pierdas! ✅🙌",,0,"11/07/2024 14:16",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid033N5objrmGqSagrzJVDDZR7sZ17oeThs16h3gWU9yFGw77eRchoH4ZUrr6RSX94cdl,0,0,Fotos,,,,,Total,1883,1760,28,20,1,7,5,2,3,,,,,,,
993603412806991,100064720237286,"Alcaldía de Tuluá","🌊🚧 Canalización del río: un paso firme por la seguridad de los habitantes 🚧🌊

La Administración Municipal, en trabajo articulado con la Secretaría de Hábitat e Infraestructura, INFITULUA y el apoyo de Centro Aguas, está realizando la canalización del con el fin de ampliar el área hidráulica de transporte. Este proyecto tiene como objetivo evitar obstrucciones en el puente de la Transversal 12 durante futuras crecientes, asegurando un paso más seguro y sin dificultades para todos. 💪

Un esfuerzo conjunto que refleja el compromiso de trabajar por un Tuluá más seguro y preparado para enfrentar cualquier desafío. 🌱#ParaSerFelices 💪🏼💙","🌊🚧 Canalización del río: un paso firme por la seguridad de los habitantes 🚧🌊

La Administración Municipal, en trabajo articulado con la Secretaría de Hábitat e Infraestructura, INFITULUA y el apoyo de Centro Aguas, está realizando la canalización del con el fin de ampliar el área hidráulica de transporte. Este proyecto tiene como objetivo evitar obstrucciones en el puente de la Transversal 12 durante futuras crecientes, asegurando un paso más seguro y sin dificultades para todos. 💪

Un esfuerzo conjunto que refleja el compromiso de trabajar por un Tuluá más seguro y preparado para enfrentar cualquier desafío. 🌱#ParaSerFelices 💪🏼💙",81,"11/07/2024 10:10",uploaded,https://www.facebook.com/reel/585972903996774/,1,0,Reels,,,,,Total,776,711,53,42,2,9,0,,,,1003,11633.779,12.246,0,0,
993044442862888,100064720237286,"Alcaldía de Tuluá","🎉🚓 ¡Celebramos 133 años de la Policía Nacional 🚓🎉

Hoy, junto al alcalde @gustavovelezr, rendimos homenaje a los héroes que velan por nuestra seguridad día a día en Tuluá. En el Comando de Policía Tuluá, conmemoramos los 133 años de trabajo y compromiso de nuestra Policía Nacional, agradeciendo su valentía y dedicación. 🙏 

¡Gracias por protegernos y por ser el escudo que nos cuida a todos! 🇨🇴✨ #ParaSerFelices
 💙",,0,"11/06/2024 15:52",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0oHCB8EypLcvrtUE93TBNfnW9wZnPFAHDaeeCQgvV8UkstjfW6ePNKBJEj4EChuFSl,0,0,Fotos,,,,,Total,4356,4243,87,75,1,11,1002,106,895,1,,,,,,
992938962873436,100064720237286,"Alcaldía de Tuluá","¡Mañana! 🙌

Participa de nuestra Feria de Empleabilidad.
Te esperamos en el Centro Inspira Popular, desde las 8:00 a. m. 

#ParaSerFelices 💙✅",,0,"11/06/2024 11:44",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid038CCzVakgYMab7bfzfumrXXgF6QnDj5sxYYyZRxgyZNsq3AdKGs9cDtUchKshMQAzl,0,0,Fotos,,,,,Total,2261,2184,35,27,0,8,71,11,60,,,,,,,
992918046208861,100064720237286,"Alcaldía de Tuluá","🚜 Brigada de salud animal en Tochecito 📍🐄🐴

Más de 40 usuarios de la zona rural recibieron atención médica para sus bovinos, caninos, felinos, gallinas entre otros, gracias al trabajo de la SEDAMA. ¡Seguimos trabajando por el bienestar del campo! 🌱 #ParaSerFelices 💙","🚜 Brigada de salud animal en Tochecito 📍🐄🐴

Más de 40 usuarios de la zona rural recibieron atención médica para sus bovinos, caninos, felinos, gallinas entre otros, gracias al trabajo de la SEDAMA. ¡Seguimos trabajando por el bienestar del campo! 🌱 #ParaSerFelices 💙",36,"11/06/2024 10:58",uploaded,https://www.facebook.com/reel/1282908352728067/,1,0,Reels,,,,,Total,551,516,28,22,0,6,0,,,,575,2502.524,4.55,0,0,
992313829602616,100064720237286,"Alcaldía de Tuluá","🚨 ¡Tuluá cuenta con una de las Centrales de Transportes más modernas de Colombia! 🚨

Con cámaras de seguridad y reconocimiento facial, en la Central de Transportes de Tuluá, garantizamos un entorno seguro para los 11,000 pasajeros que nos visitan a diario. 💻🔒 Tecnología de última generación para proteger a todos y hacer de Tuluá, un lugar #ParaSerFelices. 💪🏼💙

#Seguridad #Tuluá","🚨 ¡Tuluá cuenta con una de las Centrales de Transportes más modernas de Colombia! 🚨

Con cámaras de seguridad y reconocimiento facial, en la Central de Transportes de Tuluá, garantizamos un entorno seguro para los 11,000 pasajeros que nos visitan a diario. 💻🔒 Tecnología de última generación para proteger a todos y hacer de Tuluá, un lugar #ParaSerFelices. 💪🏼💙

#Seguridad #Tuluá",85,"11/05/2024 15:23",uploaded,https://www.facebook.com/reel/542950781711718/,1,0,Reels,,,,,Total,855,800,55,41,1,13,0,,,,1116,12968.515,12.578,0,0,
913084196954837,100064720237286,"Alcaldía de Tuluá","Bienestar Social Coordinación Discapacidades","Hoy desde la campaña: En mi Admiración Tuluá, Yo Puedo, nos acompaña: La Coordinadora del programa de Discapacidades Leidy Nieto, desde la secretaria de Bienestar Social con el tema: Beneficios, requisitos e información sobre el programa de Discapacidades de la administración municipal",2101,"11/05/2024 08:09",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/913084196954837/,0,0,"En vivo",,,,,Total,866,778,69,57,6,6,,,,,1522,33493.459,25.354,0,,
