Registro,Dispositivo,Fecha de nacimiento,Género,¿Qué tan satisfecho está con su vida actualmente?,¿Hasta qué punto siente que las cosas que hace en su vida diaria valen la pena?,"<b>Pensando en tu bienestar emocional, ¿qué tan feliz o ansioso(a) te sentiste ayer?</b>",<b>¿Qué aspecto cambiarías en Tuluá para mejorar tu bienestar y el de los demás?</b>,¿Mejorarías algo en tu Barrio?,¿En que barrio resides y que harías para mejorarlo?,Duración
2024-11-16 10:06:49,phone,2000-07-10,female,7,7,Feliz,"Que los entes municipales se encarguen de realizar su trabajo como debe ser, las calles en mal estado son un peligro constante para todos, el alumbrado publico, hay sectores en donde no se les hace mantenimiento, la poca accion para enfrentar la delincuencia aun sabiendo quienes son los responsables",SI,"Las brisas, es un barrio que durante años se ha solicitado el pavimento de las calles, y con el pasar de las décadas aun no se hace nada",05:10
2024-11-16 09:56:14,phone,2006-08-30,female,6,8,Neutral,Amo mi tulua,SI,Barrio el bosque la seguridad en ese barrio es fatal,01:22
2024-11-16 08:45:44,phone,1988-06-14,female,7,7,Feliz,"Tuluá está trabajando dignamente por recuperar la tranquilidad de sus ciudadanos. Pero toca trabajar, fortalecer pedagógicamente con diversas estrategias a los niños, jóvenes que aún no están en problemas de violencia que no se han dejado influenciar y perseverar, recuperar los que ya lo están.",SI,"Aguaclara, seguiré aportando desde mi formación actividades para mantener la mente de los niños ocupada.",08:59
2024-11-16 07:36:16,phone,1967-05-06,male,10,9,Un poco ansioso,La inseguridad de mi ciudad,SI,La movilidad,00:51
2024-11-16 06:35:00,phone,1952-04-05,male,10,10,Neutral,"El costo de la canasta familiar, la extensión que no para y allí el costo de los producto",SI,"Bosques de maracaibo,  tres POLIDEPORTIVOS y ninguno tiene cubierta para que los niños ,jóvenes y adultos ocupen sus espacios libres en esto",07:54
2024-11-16 03:48:58,phone,1997-03-19,female,6,10,Muy Feliz,"Ayudad a los jóvenes a conseguir empleos, también ayudas a madres cabeza de familia, seguridad",SI,"Barrio la Cruz, más actividades de integración, ayudar a los jóvenes que consumen drogas a mejorar la calidad de vida",02:08
2024-11-16 01:17:34,phone,2001-03-08,female,8,7,Feliz,Me gustaría que hubiera más trabajo más actividades con los niños y niñas de Tuluá para que no cayeran en las drogas más oportunidades de salir adelante y más apoyo de la alcaldía,SI,Villaliliana mi cuadra es la única que está sin paimentar y nos afecta mucho cuando llueve mejoraría el parque y la seguridad,03:17
2024-11-16 00:42:34,phone,1988-01-21,female,2,2,Un poco ansioso,Más oportunidades de empleo y empleos bien remunerados,SI,Santa ines ... la seguridad,01:04
2024-11-15 23:46:59,phone,1992-09-16,female,7,10,Neutral,La seguridad y las oportunidades de Trabajo,NO,Pueblo nuevo y no haría nada para mejorarlo ya que me gusta mucho el ambiente donde resido,09:03
2024-11-15 23:16:35,phone,1992-10-29,male,5,7,Neutral,Acabar la extorcion.,SI,Pavimentacion,01:09
2024-11-15 23:00:28,phone,1990-04-18,female,3,6,Muy ansioso,La seguridad,SI,Portales de río paila tratar de mirar cómo gestionar un parque para nuestra niñes,01:31
2024-11-15 22:54:35,phone,1986-02-09,male,10,9,Feliz,"Que se pudiera hacer actividades para que tulua sea conocida por sus cosas buenas,como car audios,válidas de motores en las calles tulueñas como en las otras ciudades y así los negocios y las familia disfrutarán más y dejaran de viví con esos temores de antes y si hay como hacerlo solo es querer",SI,Guayacanes las ca lles que falta por el paimentar,05:09
2024-11-15 22:51:47,phone,1981-06-13,female,10,9,Un poco ansioso,Cambiaría la inseguridad a uno leda miedo salir ya con tanta delincuencia  Cambiaría ese aspecto con muchas actividades en los colegios estar más pendientes de los jóvenes por que no parece que los colegios es una cosa loca se ve mucha delincuencia,SI,Progresar  El barrio está muy dañado da pesar por que son jóvenes que lo han desmejorado,06:13
2024-11-15 19:28:27,phone,1991-03-31,female,7,7,Muy ansioso,Seguridad en los colegios y dotación de las aulas para que los niños disfruten más tiempo en la escuela en lugar de la calle y el celular,SI,"Guayacanes, mejorar la calle",02:34
2024-11-15 18:39:33,phone,1993-09-28,male,3,4,Un poco ansioso,"La seguridad, el empleo formal",SI,"Barrio independencia, correcta demarcación de las señales de tránsito, instalación de camaras de seguridad",04:08
2024-11-15 18:33:38,phone,1998-08-13,female,8,6,Neutral,"Los parques, sería mejor parques más familiares en los que se puedan compartir con niños, el parque principal es solo lleno de viejos y mujer de la vida alegre, nada familiar para los niños",NO,"Cespedes, es un barrio muy tranquilo",02:42
2024-11-15 18:21:07,phone,1975-12-30,female,8,,Feliz,Seguridad para todos y todas los emprendimientos,SI,Bosques de Maracaibo la limpieza del popo de los perritos,03:55
2024-11-15 17:24:37,phone,2004-04-19,female,8,7,Neutral,Dar más trabaji a madres solteras y una ayuda,SI,"Rubén cruz Vélez, las calles",01:17
2024-11-15 15:50:38,phone,1984-08-09,male,7,7,Un poco ansioso,Creo que a pesar de ser una persona respetuosa y responsable seria bueno dejar la indiferencia frente a los demás y tener más empatia con las personas,SI,Salesianos mejoraría la seguridad es un barrio que se torna muy solo en siertos horarios del dia aunque la policía hace una buena labor falt,04:31
2024-11-15 15:37:40,phone,1977-06-30,female,7,8,Feliz,"La seguridad, el desempleo, la alza de los servicios públicos",SI,"Jazmín, mejoraría el flujo vehicular ya que los camiones se estacionan en la 40 en los talleres y no permiten la visibilidad de los carros",02:57
2024-11-15 15:18:46,phone,1967-12-02,female,5,4,Un poco ansioso,Oportunidades laborales,SI,Bosques de Maracaibo,01:13
2024-11-15 15:07:52,phone,1978-01-20,female,9,10,Muy Feliz,"La seguridad en los barrios, los parques que están sin iluminación",SI,Urbanización La esperanza,02:17
2024-11-15 13:30:02,phone,1956-02-19,male,9,,Feliz,La movilidad atraves de la línea del tren.aprovechando toda la franja ferrea.es trabajo y eficiencia circular.,SI,Definitivamente la vida barrial se agranda con equipos biomecanicos y buen alumbrado.dan confianza y utilidad social.,03:19
2024-11-15 13:26:16,phone,1988-10-10,male,8,8,Neutral,Más Oportunidades de empleo,SI,Popular cambiar la junta que lleva muchos años y no se nota progreso en el barrio,01:54
2024-11-15 13:17:41,phone,2000-01-12,female,7,9,Muy ansioso,Más sonas que se puedan estar con nuestros niños y que no estén tantos viciosos,SI,Portales de río paila Más señalización peatonal para nuestros niños,01:51
2024-11-15 11:16:42,phone,1985-03-03,female,6,8,Un poco ansioso,La inseguridad que se está manejando en este momento,SI,Aguaclara la inseguridad,01:00
2024-11-15 09:53:53,phone,1974-06-17,male,8,8,Muy ansioso,"La seguridad que persivimos con el tema de la delincia organizada, como lo es la extorsión, microtrafico y cucariato.",SI,El parque y el polideportivo,02:54
2024-11-15 08:35:07,phone,1986-08-27,male,10,10,Feliz,Seguridad y movilidad,SI,"Villa nueva, mayor vigilancia y control de la policía",01:59
2024-11-15 08:28:50,phone,1988-10-14,male,10,10,Muy Feliz,Todavía se siente mucha inseguridad. Las bandas criminales impiden el libres desarrollo de la economía. Impiden el crecimiento,SI,"Fátima. Kr 34 con 34, reductores. Es un cruce muy accidentado. Muy poca presencia de policía. Se ve grupos de hombres en horas de madrugada",03:57
2024-11-15 08:19:08,phone,1983-10-22,male,6,9,Neutral,Igualdad en procedimiento cuando se trata de tránsito hacen comparendos en partes que una moto este parqueada pero no dificultad la movilidad pero en otras calles principales q hay dificultad si no están ejm calle 26 y calle 25 y calle 37,SI,San pedro claver mejoraría los parques más bancas y más motivados en la recreación y integración familiar y amistades,03:41
2024-11-15 05:10:11,phone,1957-04-19,female,10,10,Temo por mi vida,La Paz de Nuestra Ciudad pues se ha perdido toralmente,SI,"El Bosque, que sea brillar La Paz y El Amor no El Miedo y La Sosobra o Temor",03:21
2024-11-15 01:18:46,phone,1995-11-05,male,10,9,Muy Feliz,"El robo, la extorsión y la persecución a la gente trabajadora y humilde",SI,"Fátima. Arreglo de las vías, y control sobre el parque de la familia",01:47
2024-11-15 01:01:43,phone,1978-04-15,male,7,9,Feliz,Me gustaría que se fijarán más en los abuzos de servicios públicos más control con los jóvenes consultando alucinógenos en los parques.la seguridad es primordial rescatar el comercio de la ciudad qide nuevo recostrullan una nueva terminal Intermedia en el centro y arrime las busetas de los pueblos..,SI,El transporte urbano.mas vigilancia en los parques para aumentar los viciosos y más precensia dela alcaldía con sus habitantes,12:35
2024-11-15 00:40:58,phone,1976-03-13,female,10,10,Feliz,Q esté año hagan un alumbrado bonito teniendo en cuenta la transversal 12 y q vuelvan los défiles,SI,Rubén cruz veles iluminación en los parques,03:59
2024-11-14 23:43:28,phone,1981-10-16,male,8,8,Feliz,La seguridad y la oportunidad de empleo,SI,Nariño. Canchas y parques,02:39
2024-11-14 22:52:54,phone,1983-07-23,female,9,9,Neutral,"Tuluá está en proceso la seguridad ha mejorado, pero sería  bonito reforzar la seguridad en entornos escolares, además de promover las escuelas de padres municipales",NO,Barrio Popular y sería bueno mejorarlo con más espacios de esparcimiento,02:31
2024-11-14 22:36:55,phone,1964-06-14,male,9,9,Feliz,Que las motos respeten los semáforos,SI,La Villa. Organizar el parqueadero.,02:28
2024-11-14 22:15:38,phone,1974-07-08,female,10,10,Muy Feliz,"Trabajar en construir más empatía en los tulueños, que logremos mayor trabajo en equipo  por el bienestar de los tulueños y de quienes nos visitan.",SI,"Urbanización la Herradura, por el parque donde está el saman, este se ha convertido en el campo donde traen las mascotas hacer sus necesidad",05:26
2024-11-14 21:51:18,phone,1979-06-03,female,,,Feliz,No ya corucion en tulua,SI,Farfán,02:07
2024-11-14 21:22:28,phone,1971-09-06,male,9,8,Feliz,"Obligaría a muchos, por medio de normas, a sembrar más árboles y a cuidar los que hay. Hay mucha gente acabando con el ornato urbano y creo que la alcaldía hasta lo promueve. Mucho bla bla de &#039;cuidar el medio ambiente &#039; y a hora del té nada de nada.",SI,Urbanización la Villa. Sembraría más árboles en la ribera del río Morales a su paso por el sector.,04:09
2024-11-14 21:08:05,computer,1955-10-15,female,8,9,Muy Feliz,La extorción,SI,socialización,02:19
2024-11-14 21:01:45,phone,1960-12-19,female,5,10,Feliz,La paz la tranquilidad y que salgan fuentes de empleo sin empleos la gente sufre,SI,Corregimiento falta iluminación por los lados del aeropuerto muy oscuro,03:59
2024-11-14 20:29:18,phone,1957-09-06,male,10,10,Muy Feliz,La salud,SI,Santa Rita  El encierro del polideportivo,02:11
2024-11-14 20:21:29,phone,1994-12-28,female,0,1,Muy ansioso,La seguridad y el alcalde,SI,San Pedro Claver seguridad,01:05
2024-11-14 20:01:00,phone,1969-08-03,female,10,10,Feliz,"La seguridad, las calles en mal estado, la limpieza de las calles",SI,"Bolivar ,,, señalizaciones y tapar huecos",07:28
2024-11-14 19:07:04,phone,1980-07-16,female,3,8,Muy Feliz,"Él respeto,la educación,el acompañamiento,alas diferentes, personas que vivimos Qui,y trabajó para poder realizar nuestro proyecto,y economia alas familias",SI,"invasión  las Vegas campaña de salud, general para todos, niños, adultos mayores, citologías,y vacunas,las necesitamos, gracias 🙏",08:38
2024-11-14 18:17:38,phone,1974-10-22,female,7,,Feliz,"Que respeten las señales de tránsito, más cultura ciudadana, el espacio público",SI,La calidad de las vías y más zonas verdes,01:40
2024-11-14 15:08:21,phone,1985-01-07,female,5,6,Un poco ansioso,Por que no hay dinero que alcance,SI,En las delicias que Allan más actividades deportivas para todos,01:55
2024-11-14 14:05:19,phone,2002-12-22,female,5,6,Un poco ansioso,La seguridad de las personas,SI,La seguridad y las vías públicas,01:27
2024-11-14 13:52:59,phone,2002-09-30,female,10,10,Muy ansioso,"Considero que hace falta invertir en las vías, y en tapar los huecos, ya que además de ser peligroso, también causa mucha molestia, al igual que alterados entre las personas",NO,Nuevo principe,03:02
2024-11-14 13:28:33,phone,1956-02-19,male,8,9,Feliz,La parte de empleo que va de la mano con la modernización de la ciudad.teleferico la marina.transformacion de la antigua terminal   con proyecto de salto urbanistico.,SI,"Mantenimiento a todos y maquinaria para todos.como ningún otro lugar de colombia.hay plata unido con proyección,la llave completa.",06:28
2024-11-14 13:08:48,phone,1977-04-09,male,3,1,Un poco ansioso,"La mentalidad retrógrada de la gente que se quedó n la época de los narcos, además la gente en Tuluá es poco solidaria y hasta inhumana, regionalistas y egoístas.",SI,"Maracaibo. Impulsaría el comercio, veo como cada mes cierran un negocio diferente, mejoraría la seguridad y las zonas comunes",03:46
2024-11-14 12:54:21,phone,1999-03-15,female,8,7,Muy ansioso,Lugares donde se puedan hacer actividades distintas ya que los fines de semana lo único que se halla para hacer es tomar o comer.,SI,Panamericano. Menos ruido.,01:34
2024-11-14 12:07:34,phone,1967-01-21,male,7,8,Neutral,"Educación en todo los aspectos el respeto a las leyes de tránsito, a la vida ,menos tramitologia,control en los precios y ser más solidarios con la humanidad menos política más echos y reconocer a Dios como nuestro salvador.  Dios los bendiga  juntos somos más por una tulua mejir",SI,"El lago ,señalisacion ,policía acostados  es un corredor para uceva velocidad, cambiar luz amarilla por la blanca el cruce paso ancho semafo",08:02
2024-11-14 11:23:11,phone,1976-07-05,male,8,8,Un poco ansioso,La consolidación de la seguridad y el mejoramiento de la economía local,SI,"La Esperanza, más transporte publico, más comercio y más seguridad",01:57
2024-11-14 09:31:57,phone,1994-03-15,male,8,7,Neutral,Mejor infraestructura comercial,SI,"Campoalegre, le faltó un tramo a la pavimentada entrando al corregimiento",01:49
2024-11-14 09:19:50,phone,1978-12-26,female,10,10,Muy Feliz,Que sigan tapando los huecos,NO,Panamericano,03:01
2024-11-14 08:42:13,phone,1975-05-07,male,3,8,Temo por mi vida,Seguridad Más vías  y arreglo de las existentes,SI,"Limonar, pavimento",01:10
2024-11-14 08:37:59,phone,1995-01-04,male,8,8,Muy Feliz,"La seguridad, la ciudad está llena de delincuencia y los locales están siendo azotados por las extorsiones.",NO,Buenos Aires. Tal vez pavimentar algunas calles y tener más zonas verdes.,01:45
2024-11-14 06:18:17,phone,1959-10-14,male,8,8,Un poco ansioso,Que se tenga más tranquilidad,SI,Las nieves quitar tanto ruido en las noches,02:56
2024-11-14 02:26:39,phone,1980-09-02,female,7,8,Neutral,Que se priorizará el hablar más de Dios para que genere un cambia real en la hente,SI,"Guayacanes , volver a 7 canchas menos peligroso",03:29
2024-11-13 23:49:03,phone,1965-04-13,female,7,10,Feliz,"La situación de tantos seres  humanos , mascotas y equinos en situación de calle ..",SI,"La urbanización la Villa , mejoraría las zonas de esparcimiento de los niños , las vías y la tenencia de mascotas .",03:30
2024-11-13 23:00:39,phone,1970-02-15,female,6,9,Un poco ansioso,"Más ayuda a lía animales caballos,  perros y gatos",SI,San Luis la convivencia falta respeto por el sueño del vecino,02:01
2024-11-13 22:41:05,phone,1962-07-08,male,6,9,Temo por mi vida,Más seguridad por hoy en día todo ampon quiere ganarse la fácil y no le importa matar a otro y la policía no toma carta,SI,Prados del Norte,05:54
2024-11-13 19:49:38,phone,2005-07-08,female,5,4,Estresada,Tener un lugar seguro,SI,"Peñaranda, tener un parque y organizar las calles",01:34
2024-11-13 19:42:42,phone,1972-01-12,female,9,9,Muy Feliz,Evitar que ingresen en nuestro municipio perdonas en calidad de habitantes de calle,SI,Que tenga mejor alumbrado publico,01:40
2024-11-13 19:34:10,phone,1988-12-28,female,6,9,Feliz,La inseguridad y mejorar los lugares donde hay invasiones no se ayudas reubicar,SI,Villa de las palmas 2 la entrada no está pavimentada y es un peligro,01:48
2024-11-13 19:29:24,phone,2006-11-02,female,1,4,Neutral,LA SOCIEDAD Y EL TRÁNSITO Y EL CALOR HPTA,SI,FÁTIMA Y MARACAIBO,00:49
2024-11-13 17:57:52,phone,1956-02-19,male,8,8,Feliz,Salud y recreacion.atraves de ojos parques y darle valor a la rivera del rio.,SI,Un teleférico desde la marina.se daría un salto de progreso como lo puede tuluá.solo es voluntad y proyección urbana.tuluá  PUEDE.,03:58
2024-11-13 17:53:31,phone,1956-02-19,male,8,,Feliz,Trabajo y salud.,SI,Todo lo alusivo al mantenimiento y ampliación de equipos en los parques.utilizar la viá férrea para hacer transporte público y teleférico.,03:42
2024-11-13 16:26:48,phone,2000-06-03,male,7,9,Un poco ansioso,Los delincuentes,NO,,00:46
2024-11-13 15:42:20,phone,1964-09-02,female,8,8,Feliz,"Construiría un albergue para los habitantes de la calle, con derecho a alimentación y a proyectos para que sigan ál siguiente nivel, aprendan a sostenerse de un todo. Cumplir con la ley sobre las carretillas, cambiar carretillas por un vehículo de trabajo rentable para los carretilleros.",SI,"Fátima, la daría vida a la voley playa y haría eventos permanentes en el Parque de la Familia. Y sobre todo haría un censo de mi barrio.",07:01
2024-11-13 15:23:02,phone,1965-04-16,male,5,6,Un poco ansioso,Srguridad,SI,Más limpio,01:35
2024-11-13 14:52:47,phone,1978-06-30,female,7,10,Feliz,"Que los alcaldes realmente hagan obras y no roben dinero a través de los contratos fraudulentos que hacen, que acaben con los dispendios de droga que saben donde están y se hacen los ciegos, que haya más seguridad para que se terminen los robos;  viviendas a un costo justo",SI,"La Villa;terminar alto volumen de la música, prohibir fumar y vender bebidas alcohólicas en el supermercado.Prohibir consumo de alucinógenos",30:25
2024-11-13 14:48:13,computer,1991-12-06,male,9,9,Muy ansioso,"Mas parques biosaludables y con mejores juegos para niños, y hacia la zona del limonar",SI,"Senderos de villa liliana, mejorar la señalizacion e implementar reductores, y tambien mas parques para niños",05:27
2024-11-13 14:00:42,phone,1965-10-15,male,8,9,Feliz,Volver hacer una ciudad bonita y segura,SI,"La Graciela, de marcar bien las calles con sus normas de tránsito",03:20
2024-11-13 12:28:54,phone,2005-01-20,male,7,8,Neutral,Más seguridad en todos los aspectos,SI,Av. Cali mejorar las calles,02:57
2024-11-13 11:57:29,phone,1960-03-07,male,5,5,Muy ansioso,Extorsión eliminada. La extorsión desestimula cualquier emprendimiento. Personas han sido asesinadas. En el INPEC hay total corrupción. Los internos andan armados y con celulares. Los ciudadanos que han podido se han ido de Tuluá. Hay inmuebles de todo tipo en arriendo y en venta. Todo está paraliza,SI,Trabajo comunitario. No hay civismo.,05:40
2024-11-13 11:04:59,computer,1989-06-15,female,5,5,Un poco ansioso,"más programas gratuitos de todas las edades, que incorporen la comunidad",SI,principe,00:57
2024-11-13 09:52:31,phone,1985-02-06,male,6,8,Neutral,"Oportunidades laborales, con entrada de nuevas empresas; aprovechando ubicación geográfica. Garantizar la seguridad de los tulueños sea con la fuerza publica o negociando con las fuentes de violencia; más apoyo a la cultura y el deporte para alejar la juventud del Ocio.",SI,"La Graciela, casa comunal y realizar eventos culturales, de conciencia ciudadana, talleres varios, ferias emprendimiento. Señalización vial",06:50
2024-11-13 09:50:00,phone,2000-12-28,male,1,1,Neutral,"Más seguridad policías, más libertad de caminar por las calles a cualquier hora sin peligro, más centro de recreación para pasear y hacer tours para las familias y saber dónde pasear por qué en tulua hay muy pocas cosas para salir a pasear y recrear con la familia.",SI,"El paraíso, más recreación familiar las iluminación, supermercado y más seguridad policial.",02:49
2024-11-13 09:46:05,phone,1986-07-19,female,2,2,Temo por mi vida,Quitar tanta inseguridad ...me cambio la vida la extorcion entre en depresión severa,NO,El paraiso,01:40
2024-11-13 09:23:24,phone,1969-09-15,male,9,9,Muy Feliz,"Podar las verlas entre tulua y el corregimiento de la Marina, dan asco e inseguridad.",SI,"La bastilla, retirar basura, escombros y venta de sustancias psicoactivas en la orilla del río.",02:19
2024-11-13 09:04:53,phone,1984-12-16,female,9,10,Muy Feliz,En que la gente de mi barrio dege de meter vicio en la calle  que respeten y en  cuanto a la buya hay casas que hasta entre semana ponen alto volumen hasta tarde  que la policia intervengan,SI,En urbanización san Francisco poondria un cai en el farillon y sacaria tanto delincuente y drogadicto para que no contaminen mas niños,03:41
2024-11-13 08:20:50,phone,1984-05-15,male,6,7,Un poco ansioso,"Mejoraría el tema de la los parques , no tanto cemento más vida . Y no al abandono de los parques son lugares para compartir en familia",SI,Nuestro parque infantil que está abandonado lleno de malesa tirado a olvido,02:43
2024-11-13 07:31:41,phone,1976-03-13,female,10,10,Neutral,El económico,SI,Rubén cruz veles iluminación y aseó del parque q las personas q sacan sus mascotas recojan sus eses y  sacar la basura el día y hora q es,04:23
2024-11-13 06:27:51,phone,1974-02-22,female,,,Feliz,La seguridad,NO,Limpieza,02:48
2024-11-13 04:40:31,phone,1987-03-03,male,10,9,Muy Feliz,La forma de cada ser humano,SI,Las vías,01:40
2024-11-13 04:02:02,phone,1970-06-27,female,9,,Muy Feliz,Acabar con la  inseguridad  del pueblo,SI,Farfan,02:52
2024-11-13 04:01:39,phone,1980-03-05,male,10,10,Muy Feliz,,NO,Consejo,01:41
2024-11-13 03:13:58,phone,1983-02-13,female,4,6,Feliz,"Cambio de alcalde, definitivamente este señor no  tiene sentido de pertenencia por nuestra tulua, necesitamos alguien con don humano y que quiera sacar adelante los proyectos sociales y la seguridad de nuestro municipio",SI,"Príncipe, la seguridad y las señales de tránsito",02:21
2024-11-13 02:14:43,phone,1986-05-17,female,10,10,Muy Feliz,La seguridad,SI,"La esperanza en la vía Riofrío, esperando pronto la continuidad de la calle 27",01:59
2024-11-13 02:02:29,phone,1991-11-18,female,6,7,Un poco ansioso,Mi trabajo,SI,San Pedro claver mejoraría la vigilancia,01:21
2024-11-13 01:00:50,phone,1973-12-22,female,10,10,Neutral,La inseguridad.,SI,"Marandua, mejoraría el parque ,con botes de basura, juegos para que nuestros hijos tengan un lugar ,dónde recrearsen,y la seguridad ante tod",08:58
